
0	312	1023	1023	1023	1023	1023	320	331	323	303			6704
5	297	1023	1023	1023	1023	1023	297	239	245	299			6492
10	259	1023	1023	1023	1023	1023	252	302	306	309			6543
15	290	1023	1023	1023	1023	1023	302	310	298	264			6579
20	239	1023	1023	1023	1023	1023	314	254	258	307			6487
25	293	1023	1023	1023	1023	1023	271	317	311	256			6563
30	298	1023	1023	1023	1023	310	312	308	314	320			5954
35	269	1023	1023	1023	1023	1023	303	266	276	315			6544
40	307	1023	1023	1023	1023	278	269	315	322	282			5865
45	254	1023	1023	1023	1023	308	308	260	262	325			5809
50	307	1023	1023	1023	1023	265	267	309	312	322			5874
55	308	1023	1023	1023	1023	1023	329	322	317	269			6660
60	267	1023	1023	1023	1023	1023	329	284	277	320			6592
65	321	1023	1023	1023	1023	268	269	323	325	330			5928
70	336	1023	1023	1023	1023	258	319	317	331	285			5938
75	288	1023	1023	1023	1023	334	325	281	293	336			5949
80	325	1023	1023	1023	1023	273	282	322	333	347			5974
85	265	1023	1023	1023	1023	336	333	341	330	298			5995
90	322	1023	1023	1023	1023	334	342	296	282	338			6006
95	330	1023	1023	1023	1023	285	283	343	346	343			6022
100	277	1023	1023	1023	1023	346	334	338	348	305			6040
105	340	1023	1023	1023	1023	342	349	301	286	342			6052
110	342	1023	1023	1023	1023	346	357	354	357	338			6186
115	277	1023	1023	1023	1023	309	309	351	358	304			6000
120	335	1023	1023	1023	1023	361	359	356	360	367			6230
125	341	1023	1023	1023	1023	358	366	311	308	346			6122
130	349	1023	1023	1023	1023	311	313	351	363	352			6131
135	311	1023	1023	1023	1023	350	368	349	366	308			6144
140	360	1023	1023	1023	1023	357	370	306	358	358			6201
145	360	1023	1023	1023	1023	365	369	367	317	360			6230
150	308	1023	1023	1023	1023	321	327	378	360	308			6094
155	358	1023	1023	1023	1023	372	373	384	370	365			6314
160	359	1023	1023	1023	1023	371	373	321	314	365			6195
165	367	1023	1023	1023	1023	393	385	353	379	378			6347
170	319	1023	1023	1023	1023	349	330	282	377	306			6055
175	367	1023	1023	1023	1023	375	383	250	378	381			6226
180	370	1023	1023	1023	1023	379	403	380	372	375			6371
185	385	1023	1023	1023	1023	389	394	388	329	397			6374
190	325	1023	1023	1023	1023	337	398	369	390	392			6303
195	381	1023	1023	1023	1023	387	336	370	378	352			6296
200	378	1023	1023	1023	1023	411	385	245	394	390			6295
205	380	1023	1023	1023	1023	393	402	357	337	385			6346
210	338	1023	1023	1023	1023	393	407	403	390	384			6407
215	396	1023	1023	1023	1023	357	411	394	388	394			6432
220	396	1023	1023	1023	1023	408	356	395	409	370			6426
225	402	1023	1023	1023	1023	409	407	397	401	404			6512
230	395	1023	1023	1023	1023	399	414	336	346	408			6390
235	351	1023	1023	1023	1023	415	407	394	409	419			6487
240	400	1023	1023	1023	1023	416	421	411	407	409			6556
245	408	1023	1023	1023	1023	360	411	406	417	337			6431
250	410	1023	1023	1023	1023	422	362	409	406	413			6514
255	415	1023	1023	1023	1023	421	427	406	405	410			6576
260	360	1023	1023	1023	1023	426	420	331	359	423			6411
265	407	1023	1023	1023	1023	431	432	397	421	441			6621
270	420	1023	1023	1023	1023	420	422	416	426	427			6623
275	418	1023	1023	1023	1023	436	417	422	426	442			6653
280	424	1023	1023	1023	1023	378	366	421	450	362			6493
285	427	1023	1023	1023	1023	439	418	432	422	433			6663
290	428	1023	1023	1023	1023	434	445	414	423	425			6661
295	374	1023	1023	1023	1023	436	443	378	372	449			6544
300	423	1023	1023	1023	1023	447	427	459	453	442			6743
305	432	1023	1023	1023	1023	431	430	437	452	439			6713
310	435	1023	1023	1023	1023	434	437	437	445	442			6722
315	439	1023	1023	1023	1023	443	471	437	461	441			6784
320	444	1023	1023	1023	1023	454	455	445	440	464			6794
325	449	1023	1023	1023	1023	408	445	445	457	458			6754
330	1023	1023	1023	1023	1023	442	388	443	478	394			7260
335	1023	1023	1023	1023	1023	447	445	443	471	462			7383
340	414	1023	1023	1023	1023	477	449	460	458	466			6816
345	442	1023	1023	1023	1023	487	459	401	461	458			6800
350	458	1023	1023	1023	1023	474	492	453	482	464			6915
355	461	1023	1023	1023	1023	458	496	486	493	485			6971
360	459	1023	1023	1023	1023	466	492	473	490	486			6958
365	459	1023	1023	1023	1023	465	462	494	489	487			6948
370	458	1023	1023	1023	1023	494	484	492	490	486			6996
375	461	1023	1023	1023	1023	493	489	464	495	490			6984
380	474	1023	1023	1023	1023	492	490	500	488	497			7033
385	478	1023	1023	1023	1023	494	493	494	494	497			7042
390	469	1023	1023	1023	1023	489	497	489	493	500			7029
395	478	1023	1023	1023	1023	484	493	489	486	493			7015
400	466	1023	1023	1023	1023	490	489	482	485	482			6986
405	482	1023	1023	1023	1023	492	491	493	491	490			7031
410	483	1023	1023	1023	1023	495	488	494	496	489			7037
415	486	1023	1023	1023	1023	498	490	494	494	495			7049
420	489	1023	1023	1023	1023	495	499	484	493	497			7049
425	490	1023	1023	1023	1023	488	498	482	490	497			7037
430	493	1023	1023	1023	1023	485	491	492	491	493			7037
435	493	1023	1023	1023	1023	488	490	490	490	485			7028
440	489	1023	1023	1023	1023	490	490	498	493	491			7043
445	486	1023	1023	1023	1023	491	490	485	490	485			7019
450	498	1023	1023	1023	1023	491	495	498	491	494			7059
455	495	1023	1023	1023	1023	491	501	488	493	491			7051
460	501	1023	1023	1023	1023	490	493	487	490	500			7053
465	501	1023	1023	1023	1023	489	484	482	490	495			7033
470	501	1023	1023	1023	1023	486	490	491	489	490			7039
475	1023	1023	1023	1023	1023	491	457	501	486	498			7548
480	1023	1023	1023	1023	1023	498	488	489	491	490			7571
485	1023	1023	1023	1023	1023	494	498	486	494	486			7573
490	1023	1023	1023	1023	1023	495	493	489	493	488			7573
495	1023	1023	1023	1023	1023	494	491	493	490	491			7574
500	1023	1023	1023	1023	1023	485	489	489	497	493			7568
505	1023	1023	1023	1023	1023	485	488	489	486	493			7556
510	1023	1023	1023	1023	1023	490	485	493	488	493			7564
515	1023	1023	1023	1023	1023	492	491	487	493	488			7566
520	1023	1023	1023	1023	1023	500	491	484	493	490			7573
525	1023	1023	1023	1023	1023	489	493	489	498	490			7574
530	1023	1023	1023	1023	1023	493	491	491	494	490			7574
535	1023	1023	1023	1023	1023	486	491	503	486	495			7576
